movie_id,title,year,academy_award,won,run_time,budget,box_office,starring 1,starring 2,starring 3,starring 4,starring 5,starring 6,starring 7,starring 8,starring 9,starring 10,starring 11,starring 12,starring 13,starring 14,starring 15,starring 16,starring 17,starring 18,starring 19
wings-1927,Wings,1927,1,yes,111,2,NA,,,,,,,,,,,,,,,,,,,
the-racket-1927,The Racket,1927,1,no,84,NA,NA,Thomas Meighan, Marie Prevost, Louis Wolheim,,,,,,,,,,,,,,,,
7th-heaven-1927,7th Heaven,1927,1,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
the-broadway-melody-1928,The Broadway Melody,1928,2,yes,100,0.379,4.4,,,,,,,,,,,,,,,,,,,
alibi-1928,Alibi,1928,2,no,90,NA,NA,Chester Morris, Mae Busch,,,,,,,,,,,,,,,,,
hollywood-revue-1928,Hollywood Revue,1928,2,no,116,0.426,NA,,,,,,,,,,,,,,,,,,,
in-old-arizona-1928,In Old Arizona,1928,2,no,95,NA,1.3,,,,,,,,,,,,,,,,,,,
the-patriot-1928,The Patriot,1928,2,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
all-quiet-on-the-western-front-1929,All Quiet on the Western Front,1929,3,yes,152,1.2,1.5,,,,,,,,,,,,,,,,,,,
the-big-house-1929,The Big House,1929,3,no,87,0.414,NA,,,,,,,,,,,,,,,,,,,
disraeli-1929,Disraeli,1929,3,no,90,NA,NA,,,,,,,,,,,,,,,,,,,
the-divorcee-1929,The Divorcee,1929,3,no,84,NA,NA,,,,,,,,,,,,,,,,,,,
the-love-parade-1929,The Love Parade,1929,3,no,107,NA,NA,,,,,,,,,,,,,,,,,,,
cimarron-1930,Cimarron,1930,4,yes,124,1.433,1.383,,,,,,,,,,,,,,,,,,,
east-lynne-1930,East Lynne,1930,4,no,102,NA,NA,,,,,,,,,,,,,,,,,,,
the-front-page-1930,The Front Page,1930,4,no,101,NA,0.7,,,,,,,,,,,,,,,,,,,
skippy-1930,Skippy,1930,4,no,85,NA,NA,,,,,,,,,,,,,,,,,,,
trader-horn-1930,Trader Horn,1930,4,no,122,1.3,4.2,,,,,,,,,,,,,,,,,,,
grand-hotel-1931,Grand Hotel,1931,5,yes,112,0.75,2.25,,,,,,,,,,,,,,,,,,,
arrowsmith-1931,Arrowsmith,1931,5,no,108,NA,1.25,,,,,,,,,,,,,,,,,,,
bad-girl-1931,Bad Girl,1931,5,no,90,NA,1.1,,,,,,,,,,,,,,,,,,,
the-champ-1931,The Champ,1931,5,no,87,0.356,1.6,,,,,,,,,,,,,,,,,,,
five-star-final-1931,Five Star Final,1931,5,no,89,NA,NA,,,,,,,,,,,,,,,,,,,
one-hour-with-you-1931,One Hour with You,1931,5,no,80,NA,NA,,,,,,,,,,,,,,,,,,,
shanghai-express-1931,Shanghai Express,1931,5,no,80,NA,3.7,,,,,,,,,,,,,,,,,,,
the-smiling-lieutenant-1931,The Smiling Lieutenant,1931,5,no,89,NA,NA,,,,,,,,,,,,,,,,,,,
cavalcade-1932,Cavalcade,1932,6,yes,112,1.1803,3.5,,,,,,,,,,,,,,,,,,,
42nd-street-1932,42nd Street,1932,6,no,89,0.439,2.25,,,,,,,,,,,,,,,,,,,
a-farewell-to-arms-1932,A Farewell to Arms,1932,6,no,85,0.9,NA,Helen Hayes, Gary Cooper, Adolphe Menjou,,,,,,,,,,,,,,,,
i-am-a-fugitive-from-a-chain-gang-1932,I Am a Fugitive from a Chain Gang,1932,6,no,93,NA,NA,,,,,,,,,,,,,,,,,,,
lady-for-a-day-1932,Lady for a Day,1932,6,no,96,0.3,NA,,,,,,,,,,,,,,,,,,,
little-women-1932,Little Women,1932,6,no,117,0.424,2.07,,,,,,,,,,,,,,,,,,,
the-private-life-of-henry-viii-1932,The Private Life of Henry VIII,1932,6,no,97,0.22815,2.6325,,,,,,,,,,,,,,,,,,,
she-done-him-wrong-1932,She Done Him Wrong,1932,6,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
smilin-through-1932,Smilin' Through,1932,6,no,98,0.851,2.033,,,,,,,,,,,,,,,,,,,
state-fair-1932,State Fair,1932,6,no,97,0.6,1.8,,,,,,,,,,,,,,,,,,,
it-happened-one-night-1934,It Happened One Night,1934,7,yes,105,0.325,NA,,,,,,,,,,,,,,,,,,,
the-barretts-of-wimpole-street-1934,The Barretts of Wimpole Street,1934,7,no,110,0.82,NA,,,,,,,,,,,,,,,,,,,
cleopatra-1934,Cleopatra,1934,7,no,100,NA,NA,,,,,,,,,,,,,,,,,,,
flirtation-walk-1934,Flirtation Walk,1934,7,no,97,NA,NA,,,,,,,,,,,,,,,,,,,
the-gay-divorcee-1934,The Gay Divorcee,1934,7,no,107,0.52,1.8,,,,,,,,,,,,,,,,,,,
here-comes-the-navy-1934,Here Comes the Navy,1934,7,no,87,NA,NA,,,,,,,,,,,,,,,,,,,
the-house-of-rothschild-1934,The House of Rothschild,1934,7,no,88,NA,NA,,,,,,,,,,,,,,,,,,,
imitation-of-life-1934,Imitation of Life,1934,7,no,111,NA,NA,Claudette Colbert, Warren William, Louise Beavers,,,,,,,,,,,,,,,,
one-night-of-love-1934,One Night of Love,1934,7,no,83,NA,0.7332,,,,,,,,,,,,,,,,,,,
the-thin-man-1934,The Thin Man,1934,7,no,93,0.2264,NA,William Powell, Myrna Loy, Maureen O'Sullivan, Nat Pendleton, Minna Gombell,,,,,,,,,,,,,,
viva-villa-1934,Viva Villa!,1934,7,no,115,1.022,1.875,,,,,,,,,,,,,,,,,,,
the-white-parade-1934,The White Parade,1934,7,no,80,NA,NA,,,,,,,,,,,,,,,,,,,
mutiny-on-the-bounty-1935,Mutiny on the Bounty,1935,8,yes,NA,NA,NA,,,,,,,,,,,,,,,,,,,
alice-adams-1935,Alice Adams,1935,8,no,99,0.342,0.77,,,,,,,,,,,,,,,,,,,
broadway-melody-of-1936-1935,Broadway Melody of 1936,1935,8,no,101,1.062,2.871,,,,,,,,,,,,,,,,,,,
captain-blood-1935,Captain Blood,1935,8,no,119,1.242,2.5,Errol Flynn, Olivia de Havilland, Basil Rathbone, Ross Alexander,,,,,,,,,,,,,,,
david-copperfield-1935,David Copperfield,1935,8,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
the-informer-1935,The Informer,1935,8,no,91,0.243,0.95,,,,,,,,,,,,,,,,,,,
the-lives-of-a-bengal-lancer-1935,The Lives of a Bengal Lancer,1935,8,no,109,NA,49,,,,,,,,,,,,,,,,,,,
a-midsummer-nights-dream-1935,A Midsummer Night's Dream,1935,8,no,133,0.981,1.229,Olivia de Havilland, Jean Muir, Dick Powell, Ross Alexander, James Cagney, Mickey Rooney, Joe E. Brown, Victor Jory, Anita Louise, Ian Hunter,,,,,,,,,
les-misrables-1935,Les Misérables,1935,8,no,108,NA,NA,,,,,,,,,,,,,,,,,,,
naughty-marietta-1935,Naughty Marietta,1935,8,no,105,0.782,2.057,,,,,,,,,,,,,,,,,,,
ruggles-of-red-gap-1935,Ruggles of Red Gap,1935,8,no,90,NA,NA,Charles Laughton, Mary Boland, Charlie Ruggles, ZaSu Pitts,,,,,,,,,,,,,,,
top-hat-1935,Top Hat,1935,8,no,101,0.609,3.2,,,,,,,,,,,,,,,,,,,
the-great-ziegfeld-1936,The Great Ziegfeld,1936,9,yes,177,2.183,4.673,,,,,,,,,,,,,,,,,,,
anthony-adverse-1936,Anthony Adverse,1936,9,no,141,NA,NA,,,,,,,,,,,,,,,,,,,
dodsworth-1936,Dodsworth,1936,9,no,101,NA,1.6,,,,,,,,,,,,,,,,,,,
libeled-lady-1936,Libeled Lady,1936,9,no,98,0.603,2.723,,,,,,,,,,,,,,,,,,,
mr-deeds-goes-to-town-1936,Mr. Deeds Goes to Town,1936,9,no,115,0.8457,1,Gary Cooper, Jean Arthur, George Bancroft,,,,,,,,,,,,,,,,
romeo-and-juliet-1936,Romeo and Juliet,1936,9,no,125,2,NA,Norma Shearer, Leslie Howard, John Barrymore, Basil Rathbone, Andy Devine,,,,,,,,,,,,,,
san-francisco-1936,San Francisco,1936,9,no,115,1.3,NA,,,,,,,,,,,,,,,,,,,
the-story-of-louis-pasteur-1936,The Story of Louis Pasteur,1936,9,no,87,NA,NA,,,,,,,,,,,,,,,,,,,
a-tale-of-two-cities-1936,A Tale of Two Cities,1936,9,no,123,1.232,2.3,,,,,,,,,,,,,,,,,,,
three-smart-girls-1936,Three Smart Girls,1936,9,no,84,NA,NA,Barbara Read, Nan Grey, Deanna Durbin, Ray Milland,,,,,,,,,,,,,,,
the-life-of-emile-zola-1937,The Life of Emile Zola,1937,10,yes,116,NA,NA,,,,,,,,,,,,,,,,,,,
the-awful-truth-1937,The Awful Truth,1937,10,no,90,NA,3,,,,,,,,,,,,,,,,,,,
captains-courageous-1937,Captains Courageous,1937,10,no,115,1.645,3.133,,,,,,,,,,,,,,,,,,,
dead-end-1937,Dead End,1937,10,no,93,NA,NA,,,,,,,,,,,,,,,,,,,
the-good-earth-1937,The Good Earth,1937,10,no,138,2.816,3.557,,,,,,,,,,,,,,,,,,,
in-old-chicago-1937,In Old Chicago,1937,10,no,96,NA,2.5,,,,,,,,,,,,,,,,,,,
lost-horizon-1937,Lost Horizon,1937,10,no,133,2,NA,,,,,,,,,,,,,,,,,,,
one-hundred-men-and-a-girl-1937,One Hundred Men and a Girl,1937,10,no,85,NA,NA,,,,,,,,,,,,,,,,,,,
stage-door-1937,Stage Door,1937,10,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
a-star-is-born-1937,A Star Is Born,1937,10,no,111,1.2,2,Janet Gaynor, Fredric March,,,,,,,,,,,,,,,,,
you-cant-take-it-with-you-1938,You Can't Take It with You,1938,11,yes,126,NA,NA,Jean Arthur, Lionel Barrymore, James Stewart, Edward Arnold,,,,,,,,,,,,,,,
the-adventures-of-robin-hood-1938,The Adventures of Robin Hood,1938,11,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
alexanders-ragtime-band-1938,Alexander's Ragtime Band,1938,11,no,106,NA,3.6,,,,,,,,,,,,,,,,,,,
boys-town-1938,Boys Town,1938,11,no,96,0.772,4.058,,,,,,,,,,,,,,,,,,,
the-citadel-1938,The Citadel,1938,11,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
four-daughters-1938,Four Daughters,1938,11,no,90,NA,NA,,,,,,,,,,,,,,,,,,,
grand-illusion-1938,Grand Illusion,1938,11,no,114,NA,NA,Jean Gabin, Dita Parlo, Pierre Fresnay, Erich von Stroheim,,,,,,,,,,,,,,,
jezebel-1938,Jezebel,1938,11,no,103,1.25,NA,Bette Davis, Henry Fonda, George Brent, Margaret Lindsay, Donald Crisp, Fay Bainter, Richard Cromwell, Henry O'Neill, Spring Byington, John Litel,,,,,,,,,
pygmalion-1938,Pygmalion,1938,11,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
test-pilot-1938,Test Pilot,1938,11,no,118,1.701,3.903,,,,,,,,,,,,,,,,,,,
gone-with-the-wind-1939,Gone with the Wind,1939,12,yes,NA,3.85,390,Clark Gable, Vivien Leigh, Leslie Howard, Olivia de Havilland,,,,,,,,,,,,,,,
dark-victory-1939,Dark Victory,1939,12,no,104,1,NA,,,,,,,,,,,,,,,,,,,
goodbye-mr-chips-1939,"Goodbye, Mr. Chips",1939,12,no,114,1.051,3.252,Robert Donat, Greer Garson, Terry Kilburn,,,,,,,,,,,,,,,,
love-affair-1939,Love Affair,1939,12,no,87,0.86,1.8,,,,,,,,,,,,,,,,,,,
mr-smith-goes-to-washington-1939,Mr. Smith Goes to Washington,1939,12,no,130,1.5,9,,,,,,,,,,,,,,,,,,,
ninotchka-1939,Ninotchka,1939,12,no,110,NA,2.3,,,,,,,,,,,,,,,,,,,
of-mice-and-men-1939,Of Mice and Men,1939,12,no,107,NA,NA,,,,,,,,,,,,,,,,,,,
stagecoach-1939,Stagecoach,1939,12,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
the-wizard-of-oz-1939,The Wizard of Oz,1939,12,no,101,2.8,3,Judy Garland, Frank Morgan, Ray Bolger, Bert Lahr, Jack Haley, Billie Burke, Margaret Hamilton, Charley Grapewin,,,,,,,,,,,
wuthering-heights-1939,Wuthering Heights,1939,12,no,103,NA,NA,,,,,,,,,,,,,,,,,,,
rebecca-1940,Rebecca,1940,13,yes,130,1.288,6,,,,,,,,,,,,,,,,,,,
all-this-and-heaven-too-1940,"All This, and Heaven Too",1940,13,no,141,NA,NA,,,,,,,,,,,,,,,,,,,
foreign-correspondent-1940,Foreign Correspondent,1940,13,no,120,1.4842,1.5984,Joel McCrea, Laraine Day, Herbert Marshall, George Sanders, Albert Basserman, Robert Benchley,,,,,,,,,,,,,
the-grapes-of-wrath-1940,The Grapes of Wrath,1940,13,no,129,0.8,2.5,Henry Fonda, Jane Darwell, John Carradine, Shirley Mills, John Qualen, Eddie Quillan,,,,,,,,,,,,,
the-great-dictator-1940,The Great Dictator,1940,13,no,124,2,5,,,,,,,,,,,,,,,,,,,
kitty-foyle-1940,Kitty Foyle,1940,13,no,108,0.738,2.385,,,,,,,,,,,,,,,,,,,
the-letter-1940,The Letter,1940,13,no,95,NA,NA,,,,,,,,,,,,,,,,,,,
the-long-voyage-home-1940,The Long Voyage Home,1940,13,no,105,0.6825,0.5801,John Wayne, Thomas Mitchell, Ian Hunter,,,,,,,,,,,,,,,,
our-town-1940,Our Town,1940,13,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
the-philadelphia-story-1940,The Philadelphia Story,1940,13,no,112,0.914,3.3,,,,,,,,,,,,,,,,,,,
how-green-was-my-valley-1941,How Green Was My Valley,1941,14,yes,118,0.8,2.8,,,,,,,,,,,,,,,,,,,
blossoms-in-the-dust-1941,Blossoms in the Dust,1941,14,no,99,1.112,2.658,,,,,,,,,,,,,,,,,,,
citizen-kane-1941,Citizen Kane,1941,14,no,119,0.8397,1.6,Orson Welles, Joseph Cotten, Dorothy Comingore, Everett Sloane, Ray Collins, George Coulouris, Agnes Moorehead, Paul Stewart, Ruth Warrick, Erskine Sanford, William Alland,,,,,,,,
here-comes-mr-jordan-1941,Here Comes Mr. Jordan,1941,14,no,94,NA,NA,Robert Montgomery, Evelyn Keyes, Claude Rains, Rita Johnson, Edward Everett Horton,,,,,,,,,,,,,,
hold-back-the-dawn-1941,Hold Back the Dawn,1941,14,no,116,NA,NA,,,,,,,,,,,,,,,,,,,
the-little-foxes-1941,The Little Foxes,1941,14,no,115,NA,NA,,,,,,,,,,,,,,,,,,,
the-maltese-falcon-1941,The Maltese Falcon,1941,14,no,101,0.381,NA,Humphrey Bogart, Mary Astor, Gladys George, Peter Lorre, Barton MacLane, Lee Patrick, Sydney Greenstreet,,,,,,,,,,,,
one-foot-in-heaven-1941,One Foot in Heaven,1941,14,no,108,NA,NA,,,,,,,,,,,,,,,,,,,
sergeant-york-1941,Sergeant York,1941,14,no,134,1.4,16.3619,,,,,,,,,,,,,,,,,,,
suspicion-1941,Suspicion,1941,14,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
mrs-miniver-1942,Mrs. Miniver,1942,15,yes,133,1.34,8.878,,,,,,,,,,,,,,,,,,,
the-invaders-1942,The Invaders,1942,15,no,123,,20.2,,,,,,,,,,,,,,,,,,,
kings-row-1942,Kings Row,1942,15,no,127,1.0817,5.093,,,,,,,,,,,,,,,,,,,
the-magnificent-ambersons-1942,The Magnificent Ambersons,1942,15,no,88,1.1,1,Joseph Cotten, Dolores Costello, Anne Baxter, Tim Holt, Agnes Moorehead, Ray Collins, Erskine Sanford, Richard Bennett,,,,,,,,,,,
the-pied-piper-1942,The Pied Piper,1942,15,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
the-pride-of-the-yankees-1942,The Pride of the Yankees,1942,15,no,128,NA,NA,,,,,,,,,,,,,,,,,,,
random-harvest-1942,Random Harvest,1942,15,no,125,1.21,NA,,,,,,,,,,,,,,,,,,,
the-talk-of-the-town-1942,The Talk of the Town,1942,15,no,118,1,1.1,,,,,,,,,,,,,,,,,,,
wake-island-1942,Wake Island,1942,15,no,88,0.826,3.5,,,,,,,,,,,,,,,,,,,
yankee-doodle-dandy-1942,Yankee Doodle Dandy,1942,15,no,126,NA,11.8,,,,,,,,,,,,,,,,,,,
casablanca-1943,Casablanca,1943,16,yes,102,0.878,3.7,Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains, Conrad Veidt, Sydney Greenstreet, Peter Lorre[1],,,,,,,,,,,,
for-whom-the-bell-tolls-1943,For Whom the Bell Tolls,1943,16,no,170,NA,7.1,Gary Cooper, Ingrid Bergman, Akim Tamiroff, Joseph Calleia,,,,,,,,,,,,,,,
heaven-can-wait-1943,Heaven Can Wait,1943,16,no,112,1.1154,2.5,,,,,,,,,,,,,,,,,,,
the-human-comedy-1943,The Human Comedy,1943,16,no,118,1,3.9,,,,,,,,,,,,,,,,,,,
in-which-we-serve-1943,In Which We Serve,1943,16,no,115,0.9696,8.08,,,,,,,,,,,,,,,,,,,
madame-curie-1943,Madame Curie,1943,16,no,124,1.938,4.61,,,,,,,,,,,,,,,,,,,
the-more-the-merrier-1943,The More the Merrier,1943,16,no,104,0.878,1.8,,,,,,,,,,,,,,,,,,,
the-oxbow-incident-1943,The Ox-Bow Incident,1943,16,no,75,0.565,NA,,,,,,,,,,,,,,,,,,,
the-song-of-bernadette-1943,The Song of Bernadette,1943,16,no,155,1.6,5,,,,,,,,,,,,,,,,,,,
watch-on-the-rhine-1943,Watch on the Rhine,1943,16,no,114,NA,2.5,,,,,,,,,,,,,,,,,,,
going-my-way-1944,Going My Way,1944,17,yes,126,NA,7.8,Bing Crosby, Barry Fitzgerald, Risë Stevens,,,,,,,,,,,,,,,,
double-indemnity-1944,Double Indemnity,1944,17,no,107,0.98,5,Fred MacMurray, Barbara Stanwyck, Edward G. Robinson, Porter Hall, Jean Heather, Byron Barr, Richard Gaines, John Philliber,,,,,,,,,,,
gaslight-1944,Gaslight,1944,17,no,114,2.068,4.613,,,,,,,,,,,,,,,,,,,
since-you-went-away-1944,Since You Went Away,1944,17,no,172,3.257,7,,,,,,,,,,,,,,,,,,,
wilson-1944,Wilson,1944,17,no,154,2.995,NA,,,,,,,,,,,,,,,,,,,
the-lost-weekend-1945,The Lost Weekend,1945,18,yes,99,1.25,4.3,,,,,,,,,,,,,,,,,,,
anchors-aweigh-1945,Anchors Aweigh,1945,18,no,143,2.58,7.475,,,,,,,,,,,,,,,,,,,
the-bells-of-st-marys-1945,The Bells of St. Mary's,1945,18,no,126,1.3,NA,Bing Crosby, Ingrid Bergman,,,,,,,,,,,,,,,,,
mildred-pierce-1945,Mildred Pierce,1945,18,no,111,1.453,5.638,,,,,,,,,,,,,,,,,,,
spellbound-1945,Spellbound,1945,18,no,111,1.5,NA,,,,,,,,,,,,,,,,,,,
the-best-years-of-our-lives-1946,The Best Years of Our Lives,1946,19,yes,172,2.1,23.7,Myrna Loy, Fredric March, Dana Andrews, Teresa Wright, Virginia Mayo, Harold Russell,,,,,,,,,,,,,
henry-v-1946,Henry V,1946,19,no,136,8.06,2,,,,,,,,,,,,,,,,,,,
its-a-wonderful-life-1946,It's a Wonderful Life,1946,19,no,130,3.18,3.3,,,,,,,,,,,,,,,,,,,
the-razors-edge-1946,The Razor's Edge,1946,19,no,145,1.2,5,,,,,,,,,,,,,,,,,,,
the-yearling-1946,The Yearling,1946,19,no,128,3.883,7.599,,,,,,,,,,,,,,,,,,,
gentlemans-agreement-1947,Gentleman's Agreement,1947,20,yes,118,1.985,7.8,,,,,,,,,,,,,,,,,,,
the-bishops-wife-1947,The Bishop's Wife,1947,20,no,109,NA,3,,,,,,,,,,,,,,,,,,,
crossfire-1947,Crossfire,1947,20,no,86,0.678,2.5,,,,,,,,,,,,,,,,,,,
great-expectations-1947,Great Expectations,1947,20,no,118,NA,2,,,,,,,,,,,,,,,,,,,
miracle-on-34th-street-1947,Miracle on 34th Street,1947,20,no,96,0.63,2.7,,,,,,,,,,,,,,,,,,,
hamlet-1948,Hamlet,1948,21,yes,NA,2.125825,NA,,,,,,,,,,,,,,,,,,,
johnny-belinda-1948,Johnny Belinda,1948,21,no,102,NA,4.1,,,,,,,,,,,,,,,,,,,
the-red-shoes-1948,The Red Shoes,1948,21,no,133,2.0375680000000003,5,,,,,,,,,,,,,,,,,,,
the-snake-pit-1948,The Snake Pit,1948,21,no,108,3.8,4.1,,,,,,,,,,,,,,,,,,,
the-treasure-of-the-sierra-madre-1948,The Treasure of the Sierra Madre,1948,21,no,NA,NA,NA,,,,,,,,,,,,,,,,,,,
all-the-kings-men-1949,All the King's Men,1949,22,yes,109,NA,2.4,,,,,,,,,,,,,,,,,,,
battleground-1949,Battleground,1949,22,no,118,1.631,6.269,,,,,,,,,,,,,,,,,,,
the-heiress-1949,The Heiress,1949,22,no,115,2.6,2.3,Olivia de Havilland, Montgomery Clift, Ralph Richardson,,,,,,,,,,,,,,,,
a-letter-to-three-wives-1949,A Letter to Three Wives,1949,22,no,103,NA,2.75,,,,,,,,,,,,,,,,,,,
twelve-oclock-high-1949,Twelve O'Clock High,1949,22,no,132,NA,NA,,,,,,,,,,,,,,,,,,,
all-about-eve-1950,All About Eve,1950,23,yes,138,1.4,8.4,Bette Davis, Anne Baxter, George Sanders, Celeste Holm,,,,,,,,,,,,,,,
born-yesterday-1950,Born Yesterday,1950,23,no,103,NA,4.15,,,,,,,,,,,,,,,,,,,
father-of-the-bride-1950,Father of the Bride,1950,23,no,92,1.215,6.084,,,,,,,,,,,,,,,,,,,
king-solomons-mines-1950,King Solomon's Mines,1950,23,no,103,2.3,15.1,Deborah Kerr, Stewart Granger, Richard Carlson,,,,,,,,,,,,,,,,
sunset-boulevard-1950,Sunset Boulevard,1950,23,no,110,1.75,5,William Holden, Gloria Swanson, Erich von Stroheim, Nancy Olson, Fred Clark, Lloyd Gough,,,,,,,,,,,,,
an-american-in-paris-1951,An American in Paris,1951,24,yes,113,2.7,7,,,,,,,,,,,,,,,,,,,
decision-before-dawn-1951,Decision Before Dawn,1951,24,no,119,NA,1.55,,,,,,,,,,,,,,,,,,,
a-place-in-the-sun-1951,A Place in the Sun,1951,24,no,122,2.2953,7,,,,,,,,,,,,,,,,,,,
quo-vadis-1951,Quo Vadis,1951,24,no,171,7.6,21,,,,,,,,,,,,,,,,,,,
